Fuel _Type_Code,Station_Name,Street_Address,City,State,ZIP,Station_Phone,Access_Days_Time,Cards_Accepted,EV_Level1_EVSE_Num,EV_Level2_EVSE_Num,EV_DC_Fast_Count,Geocode_Status,Latitude,Longitude,EV_Connector_Types,Country,Facility_Type,E85_Other_Ethanol_Blends
E85,Sioux Valley Co-op - Cenex,220 10th St NW,Watertown,SD,57201,605-886-5829,24 hours daily,A Cash Checks CREDIT D Debit M V Voyager Wright_Exp,,,,200-9,44.904113,-97.130798,,US,COOP,"[""E30-E35""]"
E85,F&M Co-op Oil,45316 Highway 34,Madison,SD,57042,605-256-4516,"6am-10pm M-Sat, 8am-10pm Sun",A Cash D M V Wright_Exp,,,,200-8,44.00769,-97.146785,,US,COOP,"[""E20-E25"", ""E30-E35""]"
E85,Casey's,701 32nd Ave,Council Bluffs,IA,51501,712-366-5453,5:30am-12am daily,A Cash D M V Voyager Wright_Exp,,,,200-9,41.227917,-95.853279,,US,GAS_STATION,
E85,Texaco - Highway 34 Truckstop,4305 W Mount Pleasant St,West Burlington,IA,52655,319-752-3894,24 hours daily,A Cash D FuelMan M V Voyager Wright_Exp,,,,200-9,40.825493,-91.208355,,US,TRUCK_STOP,
E85,Conoco - Convenient Food Mart,3714 W Truman Blvd,Jefferson City,MO,65109,573-893-3278,5:30am-12am daily,A Cash D M V,,,,200-9,38.588189,-92.255887,,US,CONVENIENCE_STORE,"[""E30-E35"", ""E40-Plus""]"
ELEC,Los Angeles Convention Center,1201 S Figueroa St,Los Angeles,CA,90015,213-741-1151,5:30am-9pm; pay lot,,,7,,GPS,34.040539,-118.271387,J1772,US,PARKING_GARAGE,
E85,Kwik Trip #334,1271 N River Dr,Mankato,MN,56001,507-625-4190,24 hours daily,A ANDROID_PAY APPLE_PAY Cash Checks Comdata CREDIT D EFS FleetOne FuelMan M TCH Tchek V Voyager Wright_Exp,,,,200-9,44.18791,-94.012676,,US,CONVENIENCE_STORE,"[""E15""]"
ELEC,Galpin Motors,15421 Roscoe Blvd,Sepulveda,CA,91343,800-256-6219,Dealership business hours; customer use only,,,2,,200-9,34.221665,-118.468371,J1772,US,CAR_DEALER,
ELEC,Galleria at Tyler,1299 Galleria at Tyler,Riverside,CA,92503,951-351-3110,6am-12am daily,,,4,,GPS,33.909914,-117.459053,J1772,US,SHOPPING_MALL,
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,Pasadena,CA,91103,626-744-7665,24 hours daily; pay lot,,,16,,200-8,34.14762,-118.147111,J1772,US,PARKING_GARAGE,
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,Pasadena,CA,91105,626-744-7665,24 hours daily; pay lot,,,2,,GPS,34.145138,-118.152655,J1772,US,PARKING_GARAGE,
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,Pasadena,CA,91105,626-744-7665,24 hours daily; pay lot,,,3,,GPS,34.145119,-118.150133,J1772,US,PARKING_GARAGE,
E85,Kwik Trip #382,4120 Highway 52 N,Rochester,MN,55901,507-529-1726,24 hours daily,A ANDROID_PAY APPLE_PAY Cash Checks CREDIT D M V Voyager Wright_Exp,,,,200-8,44.066369,-92.503307,,US,CONVENIENCE_STORE,"[""E15""]"
E85,Bobby & Steve's Mobil,1221 Washington Ave S,Minneapolis,MN,55415,612-333-8900,24 hours daily,A Cash D M V Voyager,,,,200-9,44.974073,-93.251026,,US,GAS_STATION,
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,Long Beach,CA,90802,562-491-1234,24 hours daily; pay lot; see valet for access,,,1,,GPS,33.7637,-118.192,J1772,US,HOTEL,
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Los Angeles,CA,90045,310-646-2911,24 hours daily; pay lot,,,20,,GPS,33.94325,-118.403342,J1772,US,AIRPORT,
ELEC,Ontario Airport Hotel and Conference Center,700 N Haven Ave,Ontario,CA,91764,909-980-0400,24 hours daily; guest use only,,,1,,GPS,34.07122,-117.575,J1772,US,HOTEL,
ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,Oxnard,CA,93030,805-988-3600,24 hours daily; guest use only,,,1,,GPS,34.228315,-119.170865,J1772,US,HOTEL,
